icao,arrival_time_local,arrival_terminal,departure_city,departure_time_local,airline,flight_number
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
